,lat,lng,pvalue,value,region,log-pvalue,thresh-pvalue,counts
123,54,-178.75,1.0,0.0,"(53.5, 54.5, -179.375, -178.125)",0.0,1.0,0.0
124,55,-178.75,1.0,0.0,"(54.5, 55.5, -179.375, -178.125)",0.0,1.0,0.0
125,56,-178.75,1.0,0.0,"(55.5, 56.5, -179.375, -178.125)",0.0,1.0,0.0
126,57,-178.75,1.0,0.0,"(56.5, 57.5, -179.375, -178.125)",0.0,1.0,0.0
127,58,-178.75,1.0,0.0,"(57.5, 58.5, -179.375, -178.125)",0.0,1.0,0.0
128,59,-178.75,1.0,0.0,"(58.5, 59.5, -179.375, -178.125)",0.0,1.0,0.0
129,60,-178.75,1.0,0.0,"(59.5, 60.5, -179.375, -178.125)",0.0,1.0,0.0
130,61,-178.75,1.0,0.0,"(60.5, 61.5, -179.375, -178.125)",0.0,1.0,0.0
131,62,-178.75,1.0,0.0,"(61.5, 62.5, -179.375, -178.125)",0.0,1.0,0.0
132,63,-178.75,1.0,0.0,"(62.5, 63.5, -179.375, -178.125)",0.0,1.0,0.0
133,64,-178.75,1.0,0.0,"(63.5, 64.5, -179.375, -178.125)",0.0,1.0,0.0
134,65,-178.75,1.0,0.0,"(64.5, 65.5, -179.375, -178.125)",0.0,1.0,0.0
135,66,-178.75,1.0,0.0,"(65.5, 66.5, -179.375, -178.125)",0.0,1.0,0.0
136,67,-178.75,1.0,0.0,"(66.5, 67.5, -179.375, -178.125)",0.0,1.0,0.0
137,68,-178.75,1.0,0.0,"(67.5, 68.5, -179.375, -178.125)",0.0,1.0,0.0
138,69,-178.75,1.0,0.0,"(68.5, 69.5, -179.375, -178.125)",0.0,1.0,0.0
139,70,-178.75,1.0,0.0,"(69.5, 70.5, -179.375, -178.125)",0.0,1.0,0.0
140,-69,-177.5,1.0,0.0,"(-69.5, -68.5, -178.125, -176.875)",0.0,1.0,0.0
141,-68,-177.5,1.0,0.0,"(-68.5, -67.5, -178.125, -176.875)",0.0,1.0,0.0
142,-67,-177.5,1.0,0.0,"(-67.5, -66.5, -178.125, -176.875)",0.0,1.0,0.0
143,-66,-177.5,1.0,0.0,"(-66.5, -65.5, -178.125, -176.875)",0.0,1.0,0.0
144,-65,-177.5,1.0,0.0,"(-65.5, -64.5, -178.125, -176.875)",0.0,1.0,0.0
145,-64,-177.5,1.0,0.0,"(-64.5, -63.5, -178.125, -176.875)",0.0,1.0,0.0
146,-63,-177.5,1.0,0.0,"(-63.5, -62.5, -178.125, -176.875)",0.0,1.0,0.0
147,-62,-177.5,1.0,0.0,"(-62.5, -61.5, -178.125, -176.875)",0.0,1.0,0.0
148,-61,-177.5,1.0,0.0,"(-61.5, -60.5, -178.125, -176.875)",0.0,1.0,0.0
149,-60,-177.5,1.0,0.0,"(-60.5, -59.5, -178.125, -176.875)",0.0,1.0,0.0
150,-59,-177.5,1.0,0.0,"(-59.5, -58.5, -178.125, -176.875)",0.0,1.0,0.0
151,-58,-177.5,1.0,0.0,"(-58.5, -57.5, -178.125, -176.875)",0.0,1.0,0.0
152,-57,-177.5,1.0,0.0,"(-57.5, -56.5, -178.125, -176.875)",0.0,1.0,0.0
153,-56,-177.5,1.0,0.0,"(-56.5, -55.5, -178.125, -176.875)",0.0,1.0,0.0
154,-55,-177.5,1.0,0.0,"(-55.5, -54.5, -178.125, -176.875)",0.0,1.0,0.0
155,-54,-177.5,1.0,0.0,"(-54.5, -53.5, -178.125, -176.875)",0.0,1.0,0.0
156,-53,-177.5,1.0,0.0,"(-53.5, -52.5, -178.125, -176.875)",0.0,1.0,0.0
157,-52,-177.5,1.0,0.0,"(-52.5, -51.5, -178.125, -176.875)",0.0,1.0,0.0
158,-51,-177.5,1.0,0.0,"(-51.5, -50.5, -178.125, -176.875)",0.0,1.0,0.0
159,-50,-177.5,1.0,0.0,"(-50.5, -49.5, -178.125, -176.875)",0.0,1.0,0.0
160,-49,-177.5,1.0,0.0,"(-49.5, -48.5, -178.125, -176.875)",0.0,1.0,0.0
161,-48,-177.5,1.0,0.0,"(-48.5, -47.5, -178.125, -176.875)",0.0,1.0,0.0
162,-47,-177.5,1.0,0.0,"(-47.5, -46.5, -178.125, -176.875)",0.0,1.0,0.0
163,-46,-177.5,1.0,0.0,"(-46.5, -45.5, -178.125, -176.875)",0.0,1.0,0.0
164,-45,-177.5,1.0,0.0,"(-45.5, -44.5, -178.125, -176.875)",0.0,1.0,0.0
165,-44,-177.5,1.0,0.0,"(-44.5, -43.5, -178.125, -176.875)",0.0,1.0,0.0
166,-43,-177.5,1.0,0.0,"(-43.5, -42.5, -178.125, -176.875)",0.0,1.0,0.0
167,-42,-177.5,1.0,0.0,"(-42.5, -41.5, -178.125, -176.875)",0.0,1.0,0.0
168,-41,-177.5,1.0,0.0,"(-41.5, -40.5, -178.125, -176.875)",0.0,1.0,0.0
169,-40,-177.5,1.0,0.0,"(-40.5, -39.5, -178.125, -176.875)",0.0,1.0,0.0
170,-39,-177.5,1.0,0.0,"(-39.5, -38.5, -178.125, -176.875)",0.0,1.0,0.0
171,-38,-177.5,1.0,0.0,"(-38.5, -37.5, -178.125, -176.875)",0.0,1.0,0.0
172,-37,-177.5,1.0,0.0,"(-37.5, -36.5, -178.125, -176.875)",0.0,1.0,0.0
173,-36,-177.5,1.0,0.0,"(-36.5, -35.5, -178.125, -176.875)",0.0,1.0,0.0
174,-35,-177.5,1.0,0.0,"(-35.5, -34.5, -178.125, -176.875)",0.0,1.0,0.0
175,-34,-177.5,1.0,0.0,"(-34.5, -33.5, -178.125, -176.875)",0.0,1.0,0.0
176,-33,-177.5,1.0,0.0,"(-33.5, -32.5, -178.125, -176.875)",0.0,1.0,0.0
177,-32,-177.5,1.0,0.0,"(-32.5, -31.5, -178.125, -176.875)",0.0,1.0,0.0
178,-31,-177.5,1.0,0.0,"(-31.5, -30.5, -178.125, -176.875)",0.0,1.0,0.0
179,-30,-177.5,1.0,0.0,"(-30.5, -29.5, -178.125, -176.875)",0.0,1.0,0.0
180,-29,-177.5,1.0,0.0,"(-29.5, -28.5, -178.125, -176.875)",0.0,1.0,0.0
181,-28,-177.5,1.0,0.0,"(-28.5, -27.5, -178.125, -176.875)",0.0,1.0,0.0
182,-27,-177.5,1.0,0.0,"(-27.5, -26.5, -178.125, -176.875)",0.0,1.0,0.0
183,-26,-177.5,1.0,0.0,"(-26.5, -25.5, -178.125, -176.875)",0.0,1.0,0.0
184,-25,-177.5,1.0,0.0,"(-25.5, -24.5, -178.125, -176.875)",0.0,1.0,0.0
185,-24,-177.5,1.0,0.0,"(-24.5, -23.5, -178.125, -176.875)",0.0,1.0,0.0
186,-23,-177.5,1.0,0.0,"(-23.5, -22.5, -178.125, -176.875)",0.0,1.0,0.0
187,-22,-177.5,1.0,0.0,"(-22.5, -21.5, -178.125, -176.875)",0.0,1.0,0.0
188,-21,-177.5,1.0,0.0,"(-21.5, -20.5, -178.125, -176.875)",0.0,1.0,0.0
189,-20,-177.5,1.0,0.0,"(-20.5, -19.5, -178.125, -176.875)",0.0,1.0,0.0
190,-19,-177.5,1.0,0.0,"(-19.5, -18.5, -178.125, -176.875)",0.0,1.0,0.0
191,-18,-177.5,1.0,0.0,"(-18.5, -17.5, -178.125, -176.875)",0.0,1.0,0.0
192,-17,-177.5,1.0,0.0,"(-17.5, -16.5, -178.125, -176.875)",0.0,1.0,0.0
193,-16,-177.5,1.0,0.0,"(-16.5, -15.5, -178.125, -176.875)",0.0,1.0,0.0
194,-15,-177.5,1.0,0.0,"(-15.5, -14.5, -178.125, -176.875)",0.0,1.0,0.0
195,-14,-177.5,1.0,0.0,"(-14.5, -13.5, -178.125, -176.875)",0.0,1.0,0.0
196,-13,-177.5,1.0,0.0,"(-13.5, -12.5, -178.125, -176.875)",0.0,1.0,0.0
197,-12,-177.5,1.0,0.0,"(-12.5, -11.5, -178.125, -176.875)",0.0,1.0,0.0
198,-11,-177.5,1.0,0.0,"(-11.5, -10.5, -178.125, -176.875)",0.0,1.0,0.0
199,-10,-177.5,1.0,0.0,"(-10.5, -9.5, -178.125, -176.875)",0.0,1.0,0.0
200,-9,-177.5,1.0,0.0,"(-9.5, -8.5, -178.125, -176.875)",0.0,1.0,0.0
201,-8,-177.5,1.0,0.0,"(-8.5, -7.5, -178.125, -176.875)",0.0,1.0,0.0
