,lat,lng,pvalue,value,region,log-pvalue,thresh-pvalue,counts
36452,-17,146.25,0.0,0.0,"(-17.5, -16.5, 145.625, 146.875)",-inf,0.0,24.0
36453,-16,146.25,0.0,0.0,"(-16.5, -15.5, 145.625, 146.875)",-inf,0.0,24.0
36454,-15,146.25,0.0,0.0,"(-15.5, -14.5, 145.625, 146.875)",-inf,0.0,24.0
36455,-14,146.25,0.0,0.0,"(-14.5, -13.5, 145.625, 146.875)",-inf,0.0,24.0
36456,-13,146.25,0.0,0.0,"(-13.5, -12.5, 145.625, 146.875)",-inf,0.0,24.0
36457,-12,146.25,0.0,0.0,"(-12.5, -11.5, 145.625, 146.875)",-inf,0.0,24.0
36458,-11,146.25,0.0,0.0,"(-11.5, -10.5, 145.625, 146.875)",-inf,0.0,24.0
36459,-10,146.25,0.0,0.0,"(-10.5, -9.5, 145.625, 146.875)",-inf,0.0,24.0
36460,-9,146.25,0.0,0.0,"(-9.5, -8.5, 145.625, 146.875)",-inf,0.0,24.0
36461,-8,146.25,0.0193,0.0193,"(-8.5, -7.5, 145.625, 146.875)",-1.7144426909922261,1.0,0.0
36462,-7,146.25,0.4573999999999999,0.4573999999999999,"(-7.5, -6.5, 145.625, 146.875)",-0.3397038397292704,1.0,0.0
36463,-6,146.25,0.8699999999999999,0.8699999999999999,"(-6.5, -5.5, 145.625, 146.875)",-0.06048074738138154,1.0,0.0
36464,-5,146.25,0.2131,0.2131,"(-5.5, -4.5, 145.625, 146.875)",-0.671416550285798,1.0,0.0
36465,-4,146.25,0.2409,0.2409,"(-4.5, -3.5, 145.625, 146.875)",-0.6181632000016566,1.0,0.0
36466,-3,146.25,0.3125,0.3125,"(-3.5, -2.5, 145.625, 146.875)",-0.505149978319906,1.0,0.0
36467,-2,146.25,0.3719999999999999,0.3719999999999999,"(-2.5, -1.5, 145.625, 146.875)",-0.42945706011810264,1.0,0.0
36468,-1,146.25,0.3730999999999999,0.3730999999999999,"(-1.5, -0.5, 145.625, 146.875)",-0.428174750959171,1.0,0.0
36469,0,146.25,0.3194,0.3194,"(-0.5, 0.5, 145.625, 146.875)",-0.49566508819753585,1.0,0.0
36470,1,146.25,0.1597,0.1597,"(0.5, 1.5, 145.625, 146.875)",-0.796695083861517,1.0,0.0
36471,2,146.25,0.0420999999999999,0.0420999999999999,"(1.5, 2.5, 145.625, 146.875)",-1.3757179041643328,1.0,0.0
36472,3,146.25,0.0011,0.0011,"(2.5, 3.5, 145.625, 146.875)",-2.958607314841775,1.0,12.0
36473,4,146.25,0.0,0.0,"(3.5, 4.5, 145.625, 146.875)",-inf,0.0,24.0
36474,5,146.25,0.0,0.0,"(4.5, 5.5, 145.625, 146.875)",-inf,0.0,24.0
36475,6,146.25,0.0,0.0,"(5.5, 6.5, 145.625, 146.875)",-inf,0.0,24.0
36476,7,146.25,0.0,0.0,"(6.5, 7.5, 145.625, 146.875)",-inf,0.0,24.0
36477,8,146.25,0.0004,0.0004,"(7.5, 8.5, 145.625, 146.875)",-3.3979400086720375,0.0004,11.0
36478,9,146.25,0.0154999999999999,0.0154999999999999,"(8.5, 9.5, 145.625, 146.875)",-1.8096683018297113,1.0,0.0
36479,10,146.25,0.0143,0.0143,"(9.5, 10.5, 145.625, 146.875)",-1.8446639625349381,1.0,0.0
36480,11,146.25,0.005,0.005,"(10.5, 11.5, 145.625, 146.875)",-2.3010299956639813,1.0,0.0
36481,12,146.25,0.0025,0.0025,"(11.5, 12.5, 145.625, 146.875)",-2.6020599913279625,1.0,4.0
36482,13,146.25,0.0008,0.0008,"(12.5, 13.5, 145.625, 146.875)",-3.0969100130080562,0.0008,24.0
36483,14,146.25,0.0002999999999999,0.0002999999999999,"(13.5, 14.5, 145.625, 146.875)",-3.522878745280482,0.0002999999999999,24.0
36484,15,146.25,0.0,0.0,"(14.5, 15.5, 145.625, 146.875)",-inf,0.0,24.0
36485,16,146.25,0.0,0.0,"(15.5, 16.5, 145.625, 146.875)",-inf,0.0,24.0
36486,17,146.25,0.0,0.0,"(16.5, 17.5, 145.625, 146.875)",-inf,0.0,24.0
36487,18,146.25,0.0,0.0,"(17.5, 18.5, 145.625, 146.875)",-inf,0.0,24.0
36488,19,146.25,0.0,0.0,"(18.5, 19.5, 145.625, 146.875)",-inf,0.0,24.0
36489,20,146.25,0.0001,0.0001,"(19.5, 20.5, 145.625, 146.875)",-4.0,0.0001,24.0
36490,21,146.25,0.0001,0.0001,"(20.5, 21.5, 145.625, 146.875)",-4.0,0.0001,24.0
36491,22,146.25,0.0002,0.0002,"(21.5, 22.5, 145.625, 146.875)",-3.6989700043360187,0.0002,24.0
36492,23,146.25,0.0002,0.0002,"(22.5, 23.5, 145.625, 146.875)",-3.6989700043360187,0.0002,24.0
36493,24,146.25,0.0002,0.0002,"(23.5, 24.5, 145.625, 146.875)",-3.6989700043360187,0.0002,24.0
36494,25,146.25,0.0020999999999999,0.0020999999999999,"(24.5, 25.5, 145.625, 146.875)",-2.6777807052661013,1.0,9.0
36495,26,146.25,0.0057999999999999,0.0057999999999999,"(25.5, 26.5, 145.625, 146.875)",-2.23657200643707,1.0,0.0
36496,27,146.25,0.0086999999999999,0.0086999999999999,"(26.5, 27.5, 145.625, 146.875)",-2.0604807473813866,1.0,0.0
36497,28,146.25,0.0592999999999999,0.0592999999999999,"(27.5, 28.5, 145.625, 146.875)",-1.226945306635738,1.0,0.0
36498,29,146.25,0.5503,0.5503,"(28.5, 29.5, 145.625, 146.875)",-0.25940048718884345,1.0,0.0
36499,30,146.25,0.9195,0.9195,"(29.5, 30.5, 145.625, 146.875)",-0.03644826642590373,1.0,0.0
36500,31,146.25,0.7974999999999999,0.7974999999999999,"(30.5, 31.5, 145.625, 146.875)",-0.09826930827078133,1.0,0.0
36501,32,146.25,0.8809,0.8809,"(31.5, 32.5, 145.625, 146.875)",-0.055073390013784376,1.0,0.0
36502,33,146.25,0.9789,0.9789,"(32.5, 33.5, 145.625, 146.875)",-0.009261671492462657,1.0,0.0
36503,34,146.25,0.9569,0.9569,"(33.5, 34.5, 145.625, 146.875)",-0.0191334454179209,1.0,0.0
36504,35,146.25,0.9689,0.9689,"(34.5, 35.5, 145.625, 146.875)",-0.013721044094008789,1.0,0.0
36505,36,146.25,0.6832,0.6832,"(35.5, 36.5, 145.625, 146.875)",-0.1654521423190513,1.0,0.0
36506,37,146.25,0.5743,0.5743,"(36.5, 37.5, 145.625, 146.875)",-0.2408611837188335,1.0,0.0
36507,38,146.25,0.3318999999999999,0.3318999999999999,"(37.5, 38.5, 145.625, 146.875)",-0.47899274759139615,1.0,0.0
36508,39,146.25,0.4691,0.4691,"(38.5, 39.5, 145.625, 146.875)",-0.3287345670528416,1.0,0.0
36509,40,146.25,0.4934999999999999,0.4934999999999999,"(39.5, 40.5, 145.625, 146.875)",-0.3067128429943446,1.0,0.0
36510,41,146.25,0.8142,0.8142,"(40.5, 41.5, 145.625, 146.875)",-0.08926890195661928,1.0,0.0
36511,42,146.25,0.8097999999999999,0.8097999999999999,"(41.5, 42.5, 145.625, 146.875)",-0.09162222756760549,1.0,0.0
36512,43,146.25,0.7805999999999998,0.7805999999999998,"(42.5, 43.5, 145.625, 146.875)",-0.1075714530547702,1.0,0.0
36513,44,146.25,0.4996999999999999,0.4996999999999999,"(43.5, 44.5, 145.625, 146.875)",-0.3012906505574132,1.0,0.0
36514,45,146.25,0.4295999999999999,0.4295999999999999,"(44.5, 45.5, 145.625, 146.875)",-0.3669357273085009,1.0,0.0
36515,46,146.25,0.7729,0.7729,"(45.5, 46.5, 145.625, 146.875)",-0.11187669270209154,1.0,0.0
36516,47,146.25,0.4946999999999999,0.4946999999999999,"(46.5, 47.5, 145.625, 146.875)",-0.30565808963581886,1.0,0.0
36517,48,146.25,0.4526,0.4526,"(47.5, 48.5, 145.625, 146.875)",-0.3442854503812902,1.0,0.0
36518,49,146.25,0.4227,0.4227,"(48.5, 49.5, 145.625, 146.875)",-0.3739677521709811,1.0,0.0
36519,50,146.25,0.5086,0.5086,"(49.5, 50.5, 145.625, 146.875)",-0.2936236441603099,1.0,0.0
36520,51,146.25,0.6916999999999999,0.6916999999999999,"(50.5, 51.5, 145.625, 146.875)",-0.16008222432131908,1.0,0.0
36521,52,146.25,0.5151,0.5151,"(51.5, 52.5, 145.625, 146.875)",-0.28810845011942104,1.0,0.0
36522,53,146.25,0.4889,0.4889,"(52.5, 53.5, 145.625, 146.875)",-0.31077996273616443,1.0,0.0
36523,54,146.25,0.546,0.546,"(53.5, 54.5, 145.625, 146.875)",-0.2628073572952627,1.0,0.0
36524,55,146.25,0.5142999999999999,0.5142999999999999,"(54.5, 55.5, 145.625, 146.875)",-0.28878347567891,1.0,0.0
36525,56,146.25,0.46,0.46,"(55.5, 56.5, 145.625, 146.875)",-0.3372421683184259,1.0,0.0
36526,57,146.25,0.2472,0.2472,"(56.5, 57.5, 145.625, 146.875)",-0.6069515335832217,1.0,0.0
36527,58,146.25,0.0951,0.0951,"(57.5, 58.5, 145.625, 146.875)",-1.021819483062586,1.0,0.0
36528,59,146.25,0.0166999999999999,0.0166999999999999,"(58.5, 59.5, 145.625, 146.875)",-1.7772835288524194,1.0,0.0
36529,60,146.25,0.0161999999999999,0.0161999999999999,"(59.5, 60.5, 145.625, 146.875)",-1.790484985457372,1.0,0.0
36530,61,146.25,0.0340999999999999,0.0340999999999999,"(60.5, 61.5, 145.625, 146.875)",-1.4672456210075036,1.0,0.0
36531,62,146.25,0.0971999999999999,0.0971999999999999,"(61.5, 62.5, 145.625, 146.875)",-1.0123337350737258,1.0,0.0
36532,63,146.25,0.2341,0.2341,"(62.5, 63.5, 145.625, 146.875)",-0.6305985863033756,1.0,0.0
36533,64,146.25,0.2023999999999999,0.2023999999999999,"(63.5, 64.5, 145.625, 146.875)",-0.6937894918322387,1.0,0.0
36534,65,146.25,0.1623999999999999,0.1623999999999999,"(64.5, 65.5, 145.625, 146.875)",-0.7894139750948438,1.0,0.0
36535,66,146.25,0.262,0.262,"(65.5, 66.5, 145.625, 146.875)",-0.5816987086802545,1.0,0.0
36536,67,146.25,0.5244999999999999,0.5244999999999999,"(66.5, 67.5, 145.625, 146.875)",-0.2802545074704234,1.0,0.0
36537,68,146.25,0.5107,0.5107,"(67.5, 68.5, 145.625, 146.875)",-0.2918341421444599,1.0,0.0
36538,69,146.25,0.4516999999999999,0.4516999999999999,"(68.5, 69.5, 145.625, 146.875)",-0.3451499094386059,1.0,0.0
36539,70,146.25,0.2693999999999999,0.2693999999999999,"(69.5, 70.5, 145.625, 146.875)",-0.5696024086130334,1.0,0.0
36540,-69,147.5,0.5463,0.5463,"(-69.5, -68.5, 146.875, 148.125)",-0.26256879948541756,1.0,0.0
36541,-68,147.5,0.3597,0.3597,"(-68.5, -67.5, 146.875, 148.125)",-0.44405956218148884,1.0,0.0
36542,-67,147.5,0.2225999999999999,0.2225999999999999,"(-67.5, -66.5, 146.875, 148.125)",-0.6524748400013106,1.0,0.0
36543,-66,147.5,0.4756,0.4756,"(-66.5, -65.5, 146.875, 148.125)",-0.322758154053346,1.0,0.0
36544,-65,147.5,0.8394,0.8394,"(-65.5, -64.5, 146.875, 148.125)",-0.07603103512452872,1.0,0.0
36545,-64,147.5,0.8245,0.8245,"(-64.5, -63.5, 146.875, 148.125)",-0.08380934001946241,1.0,0.0
36546,-63,147.5,0.8747,0.8747,"(-63.5, -62.5, 146.875, 148.125)",-0.058140873474626445,1.0,0.0
36547,-62,147.5,0.4858999999999999,0.4858999999999999,"(-62.5, -61.5, 146.875, 148.125)",-0.31345310093699386,1.0,0.0
36548,-61,147.5,0.3594999999999999,0.3594999999999999,"(-61.5, -60.5, 146.875, 148.125)",-0.44430110528109873,1.0,0.0
36549,-60,147.5,0.4691,0.4691,"(-60.5, -59.5, 146.875, 148.125)",-0.3287345670528416,1.0,0.0
36550,-59,147.5,0.7397,0.7397,"(-59.5, -58.5, 146.875, 148.125)",-0.13094438129809202,1.0,0.0
36551,-58,147.5,0.8404,0.8404,"(-58.5, -57.5, 146.875, 148.125)",-0.07551395626608502,1.0,0.0
36552,-57,147.5,0.8245,0.8245,"(-57.5, -56.5, 146.875, 148.125)",-0.08380934001946241,1.0,0.0
36553,-56,147.5,0.6185,0.6185,"(-56.5, -55.5, 146.875, 148.125)",-0.2086602960348605,1.0,0.0
36554,-55,147.5,0.8306,0.8306,"(-55.5, -54.5, 146.875, 148.125)",-0.08060807322614064,1.0,0.0
36555,-54,147.5,0.2093,0.2093,"(-54.5, -53.5, 146.875, 148.125)",-0.6792307716613135,1.0,0.0
36556,-53,147.5,0.0781,0.0781,"(-53.5, -52.5, 146.875, 148.125)",-1.1073489661226996,1.0,0.0
36557,-52,147.5,0.0625,0.0625,"(-52.5, -51.5, 146.875, 148.125)",-1.2041199826559248,1.0,0.0
36558,-51,147.5,0.0386999999999999,0.0386999999999999,"(-51.5, -50.5, 146.875, 148.125)",-1.4122890349810897,1.0,0.0
36559,-50,147.5,0.0700999999999999,0.0700999999999999,"(-50.5, -49.5, 146.875, 148.125)",-1.1542819820333419,1.0,0.0
