lat,lng,pvalue,inside,group,rect,drywet
-31,-178.75,0.022198125684194318363,false,,[object Object],
-30,-178.75,0.0015221564617340231813,true,dry#0,[object Object],
-29,-178.75,0.0001255468586903439349,true,dry#0,[object Object],
-28,-178.75,7.0629172528635010366e-06,true,dry#0,[object Object],
-27,-178.75,1.1774103495474214076e-05,true,dry#0,[object Object],
-26,-178.75,0.00062106522852701910326,true,dry#0,[object Object],
-25,-178.75,0.0071305023195647370196,true,dry#0,[object Object],
-24,-178.75,0.0013669996214768964562,true,dry#0,[object Object],
-23,-178.75,0.00018420046548561528157,true,dry#0,[object Object],
-22,-178.75,3.1254848221148148247e-05,true,dry#0,[object Object],
-21,-178.75,9.2964570410653043064e-07,false,,[object Object],
-20,-178.75,3.1793673909894263827e-05,false,,[object Object],
-19,-178.75,0.0023203757962363073114,false,,[object Object],
-18,-178.75,0.0046513528013409086506,false,,[object Object],
-17,-178.75,0.00039994073243296290876,false,,[object Object],
-16,-178.75,0.0050971203523429648233,false,,[object Object],
-15,-178.75,0.00019490157994666773892,false,,[object Object],
-14,-178.75,0.056648865188346900212,false,,[object Object],
-13,-178.75,0.4255182680500216863,false,,[object Object],
-12,-178.75,0.19838034482269109593,false,,[object Object],
-11,-178.75,0.24934616826134747836,false,,[object Object],
-10,-178.75,0.45631011049142716773,false,,[object Object],
-9,-178.75,0.0035683115839454018076,false,,[object Object],
-8,-178.75,3.8147495118355771325e-05,false,,[object Object],
-7,-178.75,5.0758667814512203657e-08,false,,[object Object],
-6,-178.75,8.1295856372737864213e-11,false,,[object Object],
-5,-178.75,8.1224034899211691619e-12,true,wet#11,[object Object],
-4,-178.75,4.6326575351566530584e-15,true,wet#11,[object Object],
-3,-178.75,8.4866602857422594225e-15,true,wet#11,[object Object],
-2,-178.75,1.6300550599400304609e-20,true,wet#11,[object Object],
-1,-178.75,2.929410105753451807e-20,true,wet#11,[object Object],
0,-178.75,2.3420771560704289407e-22,true,wet#11,[object Object],
1,-178.75,3.3975032376260343226e-25,true,wet#11,[object Object],
2,-178.75,3.3494011706558538685e-25,true,wet#11,[object Object],
3,-178.75,4.4772453546072918862e-18,true,wet#11,[object Object],
4,-178.75,2.3930537855869997982e-08,true,wet#11,[object Object],
5,-178.75,2.292358254056005816e-05,false,,[object Object],
6,-178.75,7.6997150569638837391e-05,false,,[object Object],
7,-178.75,0.00063677575591641747462,false,,[object Object],
8,-178.75,1.9089346710067588842e-07,false,,[object Object],
9,-178.75,1.2601681536789134352e-07,false,,[object Object],
10,-178.75,8.7466423164686416588e-05,false,,[object Object],
11,-178.75,0.0037122137192762303878,false,,[object Object],
12,-178.75,0.017604405807147158192,false,,[object Object],
13,-178.75,0.01651892580183813089,true,dry#0,[object Object],
14,-178.75,0.011285458960854049051,true,dry#0,[object Object],
15,-178.75,0.085241478402474660236,true,dry#0,[object Object],
16,-178.75,0.0021960910252049104831,true,dry#0,[object Object],
17,-178.75,0.0019541329135483675138,true,dry#0,[object Object],
18,-178.75,3.984027855529481552e-05,true,dry#0,[object Object],
19,-178.75,4.4518380155133869972e-05,true,dry#0,[object Object],
20,-178.75,0.017702970279474213033,true,dry#0,[object Object],
21,-178.75,0.0060460059481084408445,true,dry#0,[object Object],
22,-178.75,0.010708497108792092503,true,dry#0,[object Object],
23,-178.75,0.046821714609330114532,true,dry#0,[object Object],
24,-178.75,0.0010454065718460323585,true,dry#0,[object Object],
25,-178.75,5.6334488345625981394e-05,true,dry#0,[object Object],
26,-178.75,0.001498350125577252662,true,dry#0,[object Object],
27,-178.75,0.00011341637367593191245,true,dry#0,[object Object],
28,-178.75,4.692327367052248014e-05,true,dry#0,[object Object],
29,-178.75,4.6760479082320424867e-05,false,,[object Object],
30,-178.75,3.2222875602211725689e-05,false,,[object Object],
