,lat,lng,pvalue,value,region,log-pvalue,thresh-pvalue,counts
117,-10,-90,0.0012999999999999,0.0012999999999999,"(-15.0, -5.0, -95.0, -85.0)",-2.886056647693197,0.0012999999999999,24.0
118,0,-90,0.0099,0.0099,"(-5.0, 5.0, -95.0, -85.0)",-2.00436480540245,1.0,0.0
119,10,-90,0.8565,0.8565,"(5.0, 15.0, -95.0, -85.0)",-0.06727263269847068,1.0,0.0
120,20,-90,0.7427,0.7427,"(15.0, 25.0, -95.0, -85.0)",-0.12918657608440248,1.0,0.0
121,30,-90,0.0172,0.0172,"(25.0, 35.0, -95.0, -85.0)",-1.764471553092451,1.0,0.0
122,40,-90,0.2474,0.2474,"(35.0, 45.0, -95.0, -85.0)",-0.6066003047068982,1.0,0.0
123,50,-90,0.2736,0.2736,"(45.0, 55.0, -95.0, -85.0)",-0.5628839069519214,1.0,0.0
124,60,-90,0.9068,0.9068,"(55.0, 65.0, -95.0, -85.0)",-0.042488488545520196,1.0,0.0
125,70,-90,0.4823999999999999,0.4823999999999999,"(65.0, 75.0, -95.0, -85.0)",-0.3165927008679052,1.0,0.0
126,-60,-80,0.0013999999999999,0.0013999999999999,"(-65.0, -55.0, -85.0, -75.0)",-2.853871964321793,0.0013999999999999,24.0
127,-50,-80,0.0274,0.0274,"(-55.0, -45.0, -85.0, -75.0)",-1.562249437179612,1.0,0.0
128,-40,-80,0.0047999999999999,0.0047999999999999,"(-45.0, -35.0, -85.0, -75.0)",-2.3187587626244217,0.0047999999999999,18.0
129,-30,-80,0.1512999999999999,0.1512999999999999,"(-35.0, -25.0, -85.0, -75.0)",-0.8201610719768135,1.0,0.0
130,-20,-80,0.6513999999999999,0.6513999999999999,"(-25.0, -15.0, -85.0, -75.0)",-0.18615224577114575,1.0,0.0
131,-10,-80,0.0376,0.0376,"(-15.0, -5.0, -85.0, -75.0)",-1.424812155072339,1.0,0.0
132,0,-80,0.0561999999999999,0.0561999999999999,"(-5.0, 5.0, -85.0, -75.0)",-1.2502636844309396,1.0,0.0
133,10,-80,0.0005999999999999,0.0005999999999999,"(5.0, 15.0, -85.0, -75.0)",-3.221848749616429,0.0005999999999999,24.0
134,20,-80,0.7639,0.7639,"(15.0, 25.0, -85.0, -75.0)",-0.1169634899723202,1.0,0.0
135,30,-80,0.0013999999999999,0.0013999999999999,"(25.0, 35.0, -85.0, -75.0)",-2.853871964321793,0.0013999999999999,24.0
136,40,-80,0.3362999999999999,0.3362999999999999,"(35.0, 45.0, -85.0, -75.0)",-0.47327313268536453,1.0,0.0
137,50,-80,0.0229,0.0229,"(45.0, 55.0, -85.0, -75.0)",-1.640164517660112,1.0,0.0
138,60,-80,0.8225999999999999,0.8225999999999999,"(55.0, 65.0, -85.0, -75.0)",-0.08481129482684377,1.0,0.0
139,70,-80,0.6399,0.6399,"(65.0, 75.0, -85.0, -75.0)",-0.1938878898309088,1.0,0.0
140,-60,-70,0.007,0.007,"(-65.0, -55.0, -75.0, -65.0)",-2.154901959985743,1.0,0.0
141,-50,-70,0.4655,0.4655,"(-55.0, -45.0, -75.0, -65.0)",-0.33208031468263854,1.0,0.0
142,-40,-70,0.0015,0.0015,"(-45.0, -35.0, -75.0, -65.0)",-2.8239087409443187,0.0015,24.0
143,-30,-70,0.7088999999999999,0.7088999999999999,"(-35.0, -25.0, -75.0, -65.0)",-0.14941502364796863,1.0,0.0
144,-20,-70,0.0202999999999999,0.0202999999999999,"(-25.0, -15.0, -75.0, -65.0)",-1.6925039620867892,1.0,0.0
145,-10,-70,0.0418999999999999,0.0418999999999999,"(-15.0, -5.0, -75.0, -65.0)",-1.3777859770337058,1.0,0.0
146,0,-70,0.0091,0.0091,"(-5.0, 5.0, -75.0, -65.0)",-2.040958607678906,1.0,0.0
147,10,-70,0.0,0.0,"(5.0, 15.0, -75.0, -65.0)",-inf,0.0,24.0
